|	92120
J	52692
1H	46441
2H	27470
m	25035
s	14414
d	13282
C	10000
H	10000
1HNMR	10000
dd	9417
3H	9343
O	9018
N	8443
t	7266
2	6096
ddd	4820
3	4683
dt	3241
4H	3220
4	2473
F	2346
S	2314
Cl	2132
ddt	1913
q	1820
td	1690
5H	1627
6H	1622
5	1430
dddd	1430
0.92	1393
7.32	1286
dq	1266
14	1166
tt	1163
17	1152
16	1144
15	1112
19	1098
18	1096
2.19	1064
20	1060
7.14	1058
p	1047
1.47	1040
7.33	1028
7.69	1024
12	1011
2.20	1009
7.26	1008
13	994
7.51	973
11	956
21	947
Br	941
8H	929
2.10	921
22	918
1.28	902
6.41	891
6.59	880
7.23	875
7.34	874
7.41	860
7.87	856
7.31	853
7.37	852
7.38	842
7.50	835
6	833
7.30	825
24	824
23	824
10	820
7.35	810
7.42	805
6.96	792
7.36	778
7.43	776
3.66	771
1.83	758
8.24	756
7.24	751
0.93	747
7.28	747
3.84	737
1.44	730
9	727
7.68	725
7.27	723
7.40	715
8.06	713
0.91	706
5.86	700
7.25	698
7.48	697
8.42	697
5.31	692
7.49	689
7.21	683
7.29	680
1.65	680
7.19	679
7.39	678
2.01	677
7.17	676
1.27	676
7.22	674
5.68	672
7.60	671
7.52	669
1.46	665
4.76	663
7.88	660
6.04	657
dtd	655
8.05	655
7.44	653
8	647
1.37	645
1.74	643
7.20	642
7.78	642
7.45	640
7.18	636
5.13	624
7.16	619
6.77	616
7.55	616
7.15	615
5.49	610
2.11	607
3.86	605
7.13	602
7	602
7.56	601
2.18	598
7.53	597
3.85	595
25	593
1.45	593
7.59	592
7H	589
6.95	588
4.21	587
7.46	586
1.39	584
7.54	583
7.47	582
7.58	579
7.10	575
1.43	572
7.61	561
1.64	553
3.89	553
7.70	552
7.05	551
0.89	551
7.12	543
4.94	542
0.90	535
3.48	535
0.94	533
4.58	533
2.38	529
3.82	527
7.04	523
7.11	523
7.86	521
7.67	517
4.03	517
7.08	515
7.57	511
2.93	509
6.97	509
7.62	502
7.66	500
3.87	499
6.87	498
7.71	498
3.75	497
1.63	495
0.83	494
4.39	493
7.72	492
6.78	489
7.09	487
7.65	485
3.81	484
7.77	479
3.78	479
7.75	478
dp	478
3.57	478
8.60	477
6.86	475
7.07	475
7.01	471
26	470
7.74	470
3.88	469
7.64	467
7.83	467
2.56	464
7.03	462
6.22	462
7.79	461
7.76	454
1.18	453
7.63	453
7.89	451
7.96	448
0.85	447
6.98	446
7.02	446
2.08	444
7.73	444
3.11	443
7.06	442
8.61	439
2.02	439
8.79	438
1.82	436
0.88	433
3.83	432
7.97	430
3.79	429
6.92	429
7.85	427
7.80	427
3.90	426
3.94	426
2.09	425
1.55	424
1.09	424
6.94	421
0.95	420
3.76	420
7.84	419
1.42	417
7.82	416
1.36	416
7.90	412
1.92	411
0.87	411
3.65	411
4.12	409
7.92	409
1.19	409
6.23	408
3.29	408
1.73	404
6.93	404
3.68	403
2.00	402
27	401
2.75	401
6.89	400
1.21	396
4.02	395
2.17	394
7.91	393
7.95	393
3.62	392
0.86	391
3.93	391
0.96	391
3.74	390
6.85	388
6.99	386
7.00	386
3.92	386
6.91	385
1.56	384
3.30	384
2.37	384
1.40	384
7.81	383
1.41	383
3.77	382
1.81	382
1.84	378
7.93	377
2.47	377
7.98	376
1.38	376
3.67	375
1.93	374
3.71	373
3.80	372
2.92	372
2.16	371
7.94	371
2.29	369
8.23	367
1.89	366
2.14	365
3.73	364
3.64	362
2.15	361
4.67	361
2.91	360
1.97	359
2.07	359
1.26	358
3.39	356
1.91	356
1.31	355
3.63	354
6.32	354
1.99	353
3.69	353
2.06	352
6.79	350
2.03	350
1.98	350
1.75	349
2.74	348
4.30	348
8.97	348
0.84	347
1.52	346
1.53	345
3.02	344
5.40	344
1.35	343
2.21	342
3.72	342
2.32	342
1.33	341
2.84	341
1.80	341
4.20	340
8.43	340
4.40	340
1.24	340
8.04	339
3.58	339
2.28	339
1.30	339
2.12	338
3.70	338
3.61	338
3.54	337
8.03	337
6.88	337
3.47	336
8.15	336
1.58	336
1.94	336
6.80	335
2.22	335
5.67	335
1.32	334
3.52	333
6.82	331
1.79	331
1.67	331
1.85	331
5.95	330
6.84	328
4.11	328
1.48	328
2.41	328
4.95	327
1.95	327
8.33	327
2.35	327
6.90	326
2.36	324
3.60	324
1.88	323
6.50	323
2.89	319
2.26	319
8.00	318
1.54	318
1.70	318
1.96	318
6.83	317
2.13	317
2.65	316
2.86	315
6.68	315
3.91	315
12.09	315
2.94	315
3.95	314
3.96	314
7.99	314
1.68	314
2.33	314
1.87	314
2.81	313
2.57	313
2.88	312
0.82	312
1.90	312
1.29	312
3.56	311
1.49	310
5.12	309
8.07	307
6.81	307
1.34	307
2.73	306
2.34	306
6.40	306
1.77	305
2.39	305
6.76	305
1.86	305
2.05	304
1.22	304
2.95	304
3.59	304
3.38	304
2.04	304
1.51	304
2.87	303
2.85	303
1.76	303
4.57	302
6.13	302
2.83	302
1.59	301
1.71	300
1.66	299
2.31	299
4.49	299
1.69	299
1.50	299
8.01	296
2.42	296
1.01	296
2.90	296
